# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
man 	滿	c=2 d=0.101266 t=12715
man le 	滿了	c=1 d=1.00796e-05 t=12715
man man 	慢慢	c=1 d=1 t=12346
man zu 	滿足	c=4 d=0.711905 t=12715
mang 	忙	c=1 d=1 t=10526
mang guo 	芒果	c=1 d=1 t=9204
mang li tou xian 	忙裏偷閒	c=1 d=1.19824e-10 t=12715
mao 	毛	c=1 d=1 t=10392
mao pu 	貓撲	c=0 d=0.1 t=9145
mao si 	貌似	c=2 d=0.357007 t=12715
me 	麼	c=3 d=0.183599 t=12715
me me 	麼麼	c=0 d=1.31086e-09 t=12715
me me da 	麼麼大	c=2 d=2.18296e-08 t=12715
mei 	沒	c=28 d=1.16848 t=12715
mei 	美	c=3 d=4.08918e-09 t=12715
mei ban fa 	沒辦法	c=1 d=6.72398e-08 t=12715
mei bi yao 	沒必要	c=1 d=9.03116e-08 t=12715
mei dian 	沒電	c=1 d=5.8154e-06 t=12715
mei ding 	沒定	c=2 d=1.00914 t=11744
mei fa 	沒法	c=1 d=4.3522e-08 t=12715
mei ge ren 	每個人	c=2 d=1.07047e-07 t=12715
mei guan xi 	沒關係	c=3 d=8.30479e-07 t=12715
mei guan xi de 	沒關係的	c=1 d=1 t=9465
mei guo 	美國	c=4 d=0.0162343 t=12715
mei jian 	每件	c=1 d=2.05122e-11 t=12715
mei ling 	美玲	c=0 d=1.18365e-14 t=12715
mei mai 	沒買	c=1 d=7.30162e-07 t=12715
mei miao 	美妙	c=1 d=1 t=9681
mei qian 	美遷	c=1 d=1 t=12663
mei ren 	沒人	c=1 d=0.231078 t=12715
mei ri 	每日	c=1 d=1 t=9223
mei shen me 	沒什麼	c=3 d=0.125556 t=12715
mei shi 	沒事	c=1 d=0.343009 t=12715
mei shui 	沒誰	c=1 d=0.463013 t=12715
mei tian 	每天	c=9 d=1.23235 t=12715
mei wen ti 	沒問題	c=2 d=8.41916e-06 t=12715
mei xiang dao 	沒想到	c=0 d=0.038868 t=12715
mei yi 	每一	c=0 d=0.000932963 t=12715
mei yi bu 	每一步	c=1 d=0.0632918 t=12715
mei yi feng 	每一封	c=1 d=0.00937227 t=12715
mei yi feng 	沒一封	c=1 d=0.00932553 t=12715
mei yi ge 	每一個	c=7 d=0.000300755 t=12715
mei yi hang 	每一行	c=3 d=0.00744284 t=12715
mei yo 	沒喲	c=1 d=0.402524 t=12715
mei yong 	沒用	c=0 d=0.0519442 t=12715
mei you 	沒有	c=43 d=1.6185 t=12715
mei you le 	沒有了	c=1 d=0.404542 t=12715
mei you yong 	沒有用	c=1 d=0.18452 t=12715
mei zhou 	每週	c=7 d=6.06216e-06 t=12715
men 	們	c=2 d=0.551737 t=12715
men 	門	c=1 d=9.17233e-14 t=12715
men kou 	門口	c=3 d=1.84161e-06 t=12715
men wei 	門衛	c=1 d=0.634448 t=12715
meng 	萌	c=1 d=8.15479e-13 t=12715
meng xin 	萌欣	c=1 d=1.9175e-12 t=12715
mi 	米	c=1 d=1 t=10155
mi 	迷	c=1 d=0.00568457 t=12715
mi bu 	彌補	c=1 d=1 t=9194
mi jue 	祕訣	c=1 d=1.94079e-07 t=12715
mi ma 	密碼	c=4 d=0.00130179 t=12715
mi you 	密友	c=1 d=0.814647 t=12715
mian 	麪	c=5 d=0.537944 t=12715
mian bao dian 	麪包店	c=1 d=0.29671 t=12715
mian ji 	面積	c=6 d=4.1734 t=10279
mian lin 	面臨	c=2 d=0.0130183 t=12715
mian qiang 	勉強	c=1 d=8.09042e-08 t=12715
mian shi 	面試	c=4 d=0.0409665 t=12715
mian yi 	免疫	c=0 d=0.0298197 t=12715
mian yi li 	免疫力	c=2 d=1.01377 t=12613
mian yi liao fa 	免疫療法	c=1 d=0.299692 t=12715
miao shu 	描述	c=3 d=7.662e-05 t=12715
mie 	咩	c=1 d=1 t=8907
mie you 	咩由	c=1 d=0.50409 t=12715
min yue 	民樂	c=1 d=0.276651 t=12715
ming bu xu chuan 	名不虛傳	c=1 d=0.519442 t=12715
ming he 	鳴鶴	c=1 d=1 t=12684
ming ling 	命令	c=7 d=0.280969 t=12715
ming ming 	明明	c=1 d=1 t=10397
ming nian 	明年	c=1 d=1 t=12305
ming ri 	明日	c=2 d=0.172907 t=12715
ming ti 	命題	c=18 d=0.12179 t=12715
ming tian 	明天	c=15 d=1.1131 t=12715
ming yue 	明月	c=5 d=0.903375 t=12715
ming zao 	明早	c=2 d=1.98511 t=12193
ming zhong 	命中	c=1 d=0.878095 t=12715
ming zi 	名字	c=2 d=1.86218e-11 t=12715
mo 	莫	c=1 d=0.543351 t=12715
mo ban 	模板	c=1 d=1 t=9992
mo di 	摸底	c=1 d=1.21362e-13 t=12715
mo ming qi miao 	莫名其妙	c=1 d=4.13923e-06 t=12715
mo ren 	沒人	c=1 d=0.000156102 t=12715
mo ren 	默認	c=4 d=1.10423 t=12715
mo suo 	摸索	c=1 d=1 t=10111
mo xing 	模型	c=1 d=3.86873e-05 t=12715
models 	⊧	c=5 d=0.00384878 t=12715
models 	⊨	c=1 d=1 t=10908
mou 	某	c=1 d=2.79573e-07 t=12715
mou ge 	某個	c=2 d=0.131996 t=12715
mou ge fang mian 	某個方面	c=1 d=4.24474e-08 t=12715
mou yi 	某一	c=0 d=0.0131001 t=12715
mou yi ge 	某一個	c=2 d=0.23503 t=12715
mou yi hang 	某一行	c=1 d=0.130029 t=12715
mou zhong 	某種	c=1 d=4.00653e-05 t=12715
mu 	μ	c=1 d=0.00278085 t=12715
mu 	母	c=1 d=2.63929e-06 t=12715
mu biao 	目標	c=1 d=5.64353e-06 t=12715
mu di 	墓地	c=5 d=6.70111e-13 t=12715
mu di 	目的	c=3 d=0.823773 t=12715
mu lan 	木蘭	c=0 d=0.0474734 t=12715
mu lan dang hu zhi 	木蘭當滬指	c=1 d=0.477114 t=12715
mu qian 	目前	c=2 d=0.332871 t=12715
mu yuan 	墓園	c=1 d=1.90333e-13 t=12715
na 	哪	c=1 d=1.49259e-06 t=12715
na 	拿	c=1 d=7.11733e-10 t=12715
na 	那	c=69 d=2.28251 t=12715
na bian 	那邊	c=3 d=0.856415 t=12715
na bian de hua 	那邊的話	c=1 d=8.94282e-10 t=12715
na bu 	拿不	c=0 d=6.55908e-11 t=12715
na bu dao 	拿不到	c=1 d=1.71747e-10 t=12715
na bu na 	拿不拿	c=1 d=6.59196e-10 t=12715
na ge 	哪個	c=8 d=0.722527 t=12715
na ge 	那個	c=48 d=2.41529 t=12715
na jiu 	那就	c=2 d=0.0227089 t=12715
na kuan 	那款	c=1 d=0.000201443 t=12715
na li 	哪裏	c=3 d=1.27989 t=12715
na li 	那裏	c=12 d=1.21812 t=12715
na me 	那麼	c=5 d=0.318224 t=12715
na ni 	那你	c=4 d=0.397995 t=12715
na nian 	那年	c=1 d=0.771052 t=12715
na shi 	那是	c=3 d=0.67032 t=12715
na tao 	那套	c=1 d=1 t=10230
na tian 	哪天	c=1 d=1 t=11813
na xie 	哪些	c=3 d=0.038733 t=12715
na yi 	哪一	c=0 d=0.000235786 t=12715
na yi ge 	哪一個	c=2 d=0.733447 t=12715
na yi tiao 	哪一條	c=1 d=0.00236968 t=12715
na yi zhong 	那一種	c=1 d=0.574072 t=12715
na zheng 	納徵	c=0 d=1.74823e-14 t=12715
na zhong 	那種	c=1 d=2.53098e-13 t=12715
nai fen 	奶粉	c=3 d=0.62395 t=12715
nan 	難	c=3 d=0.00176545 t=12715
nan da 	難打	c=1 d=0.285076 t=12715
nan dao 	難道	c=3 d=0.895834 t=12715
nan de 	男的	c=1 d=1.43777e-07 t=12715
nan jie 	難解	c=1 d=0.00143012 t=12715
nan ti 	難題	c=0 d=8.0072e-05 t=12715
nan yan yuan 	男演員	c=1 d=1.38903e-13 t=12715
nan yi 	難以	c=1 d=6.5073e-05 t=12715
nan zuo 	難做	c=1 d=3.27292e-08 t=12715
ne 	呢	c=42 d=2.12925 t=12715
ne ge 	呢個	c=0 d=8.99467e-12 t=12715
neg 	¬	c=9 d=0.234177 t=12715
neg phi 	¬φ	c=1 d=1 t=8825
nei 	內	c=4 d=0.441999 t=12715
nei bu 	內部	c=1 d=0.0424257 t=12715
nei rong 	內容	c=4 d=0.00687406 t=12715
nei xin 	內心	c=2 d=4.85481e-12 t=12715
nei zheng bu 	內政部	c=2 d=0.16584 t=12715
neng 	能	c=30 d=1.42475 t=12715
neng bang 	能幫	c=0 d=1.0104e-05 t=12715
neng bang wo 	能幫我	c=1 d=0.000101545 t=12715
neng bu neng 	能不能	c=7 d=0.283654 t=12715
neng fou 	能否	c=1 d=1 t=9593
neng gou 	能夠	c=6 d=0.468348 t=12715
neng shang 	能上	c=1 d=3.89835e-13 t=12715
neng shang le 	能上了	c=1 d=4.49788e-13 t=12715
neng yong 	能用	c=1 d=1 t=11295
neng zhuan 	能賺	c=1 d=3.32182e-06 t=12715
ni 	你	c=177 d=7.37862 t=12715
ni 	逆	c=1 d=0.0156075 t=12715
ni de 	你的	c=1 d=3.88072e-12 t=12715
ni ha 	你哈	c=1 d=0.19593 t=12715
ni hao 	你好	c=28 d=8.13716 t=12715
ni hao ma 	你好嗎	c=11 d=3.95525 t=12715
ni mei you 	你沒有	c=1 d=3.41414e-05 t=12715
ni men 	你們	c=8 d=0.882497 t=12715
ni ming ti 	逆命題	c=4 d=0.034562 t=12715
ni nan 	呢喃	c=0 d=1.50006e-07 t=12715
ni qu 	你去	c=1 d=0.470011 t=12715
ni shi bu shi 	你是不是	c=1 d=4.57767e-14 t=12715
ni shuo 	你說	c=3 d=1.89771 t=12715
ni shuo de 	你說的	c=1 d=3.7087e-08 t=12715
ni yao 	你要	c=1 d=6.86332e-14 t=12715
ni ye shi 	你也是	c=1 d=0.537944 t=12715
ni zai 	你在	c=1 d=0.891367 t=12715
nian 	年	c=10 d=0.0400679 t=12715
nin hao 	您好	c=2 d=1.82932e-11 t=12715
niu jin 	牛津	c=4 d=0.00548905 t=12715
niu jin da xue 	牛津大學	c=1 d=1.40251e-09 t=12715
niu ka 	鈕卡	c=2 d=0.556612 t=12715
niu nai 	牛奶	c=2 d=0.280832 t=12715
nong 	弄	c=1 d=1.47467e-11 t=12715
nong guo 	弄過	c=1 d=2.17769e-09 t=12715
nu li 	努力	c=1 d=0.904837 t=12715
nv 	女	c=3 d=3.85487e-13 t=12715
nv peng you 	女朋友	c=3 d=0.569667 t=12715
o 	哦	c=15 d=0.753812 t=12715
o de 	哦的	c=1 d=0.421052 t=12715
o o 	哦哦	c=8 d=1.92113 t=12715
o o o 	哦哦哦	c=1 d=1.73083e-13 t=12715
o wo men 	哦我們	c=2 d=0.0572688 t=12715
or 	∨	c=1 d=1 t=10026
ou 	偶	c=0 d=0.0323033 t=12715
ou er 	偶爾	c=1 d=3.9571e-06 t=12715
ou wei er 	歐威爾	c=1 d=1 t=12376
pa 	怕	c=2 d=1.06235 t=11834
pa le 	怕了	c=1 d=0.818731 t=12715
pa pa 	怕怕	c=0 d=0.0063609 t=12715
pa pa de 	怕怕的	c=1 d=0.0639278 t=12715
pa ren 	怕人	c=1 d=1 t=11143
pai 	拍	c=1 d=0.0889216 t=12715
pai dian 	拍點	c=1 d=0.26054 t=12715
pai ming 	排名	c=1 d=0.307279 t=12715
pai tuo 	拍拖	c=1 d=1.91288e-13 t=12715
pai zhong lv 	排中律	c=3 d=0.0347353 t=12715
pan duan 	判斷	c=5 d=0.00214515 t=12715
pang bian 	旁邊	c=2 d=8.13097e-08 t=12715
pao 	跑	c=0 d=6.38062e-10 t=12715
pao bu 	跑步	c=1 d=0.168638 t=12715
pao bu ba 	跑步吧	c=1 d=1.35755e-08 t=12715
pao le 	跑了	c=0 d=0.0332871 t=12715
pao yi hui 	跑一會	c=2 d=1.86963e-08 t=12715
pei ping 	配平	c=5 d=1.09797 t=12715
pei se 	配色	c=0 d=0.0447088 t=12715
pei se zhu ti 	配色主題	c=2 d=0.900909 t=12715
pei zhi 	配置	c=1 d=0.162026 t=12715
peng 	碰	c=0 d=0.1 t=9316
peng ge tou 	碰個頭	c=1 d=1 t=9317
peng tou 	碰頭	c=2 d=1.00022 t=11393
peng you 	朋友	c=5 d=0.00609675 t=12715
peng you men 	朋友們	c=1 d=0.543351 t=12715
phi 	Φ	c=1 d=1 t=10905
phi 	φ	c=25 d=0.159768 t=12715
pi 	Π	c=1 d=0.00275318 t=12715
pi 	π	c=1 d=0.00276698 t=12715
pi fu 	皮膚	c=1 d=8.93977e-06 t=12715
pi pei 	匹配	c=1 d=0.154124 t=12715
pian 	偏	c=1 d=1 t=11608
pian 	片	c=0 d=0.0373439 t=12715
pian hao 	偏好	c=1 d=0.000332125 t=12715
pian ren 	騙人	c=1 d=1 t=9960
pian yi 	便宜	c=6 d=0.00333417 t=12715
pian yuan 	偏遠	c=1 d=1 t=10272
pian zi 	片子	c=1 d=1.21593e-06 t=12715
pian zi 	騙子	c=1 d=1.22203e-06 t=12715
piao 	票	c=0 d=1.10897e-12 t=12715
piao liang 	漂亮	c=1 d=0.66034 t=12715
piao wu 	票務	c=1 d=0.000567086 t=12715
pin 	拼	c=2 d=0.362694 t=12715
pin ming 	拼命	c=1 d=1.7561e-07 t=12715
pin xie 	拼寫	c=1 d=0.625002 t=12715
pin yi 	品議	c=1 d=7.23142e-11 t=12715
pin yin 	拼音	c=6 d=1.54303 t=12715
ping fang 	平方	c=1 d=1 t=10154
ping guo 	蘋果	c=2 d=0.0244962 t=12715
ping heng 	平衡	c=1 d=1 t=10208
ping heng dian 	平衡點	c=1 d=5.28927e-08 t=12715
ping lun 	評論	c=1 d=0.0043831 t=12715
ping mi 	平米	c=1 d=1 t=10202
ping mu 	屏幕	c=1 d=0.000420108 t=12715
ping tai 	平臺	c=4 d=0.831959 t=12715
ping tan 	平攤	c=1 d=8.25526e-10 t=12715
pm 	±	c=2 d=0.00764865 t=12715
po 	破	c=0 d=0.0202909 t=12715
psi 	ψ	c=30 d=13.4403 t=10989
pu dong 	浦東	c=1 d=3.66356e-11 t=12715
pu su 	樸素	c=1 d=0.937067 t=12715
pu tong 	普通	c=1 d=1.31402e-07 t=12715
q q hao ma 	QQ號碼	c=1 d=0.404542 t=12715
qi 	祁	c=1 d=0.913931 t=12715
qi 	起	c=3 d=1.80819 t=9243
qi 	齊	c=3 d=3.89261e-13 t=12715
qi chuang 	起牀	c=1 d=4.26529e-06 t=12715
qi de 	起得	c=1 d=0.190139 t=12715
qi dong 	啓動	c=1 d=0.000500451 t=12715
qi guo lai 	騎過來	c=1 d=1.95996e-05 t=12715
qi lai 	起來	c=5 d=0.831104 t=12715
qi mei ling 	齊美玲	c=1 d=1.18958e-13 t=12715
qi pian 	欺騙	c=1 d=1.20383e-06 t=12715
qi shi 	其實	c=27 d=1.07457 t=12715
qi ye 	起夜	c=1 d=4.09804e-06 t=12715
qi yong 	棄用	c=1 d=0.891366 t=12715
qi yu 	其餘	c=2 d=0.381579 t=12715
qi zhong 	其中	c=1 d=1 t=10002
qi zhong 	齊中	c=2 d=0.315058 t=12715
qian 	前	c=1 d=6.77518e-09 t=12715
qian 	簽	c=9 d=1.07036 t=12715
qian 	錢	c=3 d=0.548812 t=12715
qian hou 	前後	c=1 d=0.00456197 t=12715
qian hua 	錢華	c=1 d=0.546074 t=12715
qian mian 	前面	c=1 d=2.96962e-11 t=12715
qian ming 	簽名	c=2 d=0.0124729 t=12715
qian shui 	潛水	c=1 d=0.00460782 t=12715
qian ti 	前提	c=2 d=0.23426 t=12715
qian xu 	謙虛	c=1 d=4.83403e-08 t=12715
qian zheng 	簽證	c=23 d=2.70684 t=12715
qian zi 	簽字	c=1 d=3.20145e-13 t=12715
qiang 	強	c=3 d=0.00831246 t=12715
qiang 	牆	c=1 d=0.261846 t=12715
qiang da 	強大	c=1 d=0.960789 t=12715
qiang xing 	強行	c=1 d=0.0190631 t=12715
qiang zhi 	強制	c=2 d=1.69073 t=9643
qiao ke li 	巧克力	c=3 d=0.0651663 t=12715
qie huan 	切換	c=2 d=0.980835 t=12715
qie huan shu ru fa 	切換輸入法	c=1 d=3.44845e-05 t=12715
qie shi 	切實	c=1 d=1 t=9241
qing 	請	c=2 d=3.51023e-08 t=12715
qing chu 	清楚	c=3 d=0.316637 t=12715
qing chu 	清除	c=2 d=1.00238 t=11495
qing jie 	情節	c=1 d=0.0065062 t=12715
qing jie 	清潔	c=1 d=0.00653881 t=12715
qing ke 	請客	c=1 d=0.941765 t=12715
qing kuang 	情況	c=13 d=0.649439 t=12715
qing kuang xia 	情況下	c=2 d=0.0261607 t=12715
qing li 	清理	c=2 d=0.282239 t=12715
qing lv 	情侶	c=1 d=3.4413e-10 t=12715
qing qiu 	請求	c=3 d=0.490248 t=12715
qing qu 	情趣	c=1 d=0.271173 t=12715
qing wen 	請問	c=1 d=0.631284 t=12715
qing xing 	情形	c=1 d=0.690734 t=12715
qing xu 	情緒	c=1 d=5.58834e-08 t=12715
qing zhou yi guo wan chong shan 	輕舟已過萬重山	c=2 d=0.804159 t=12715
qiong jin 	窮盡	c=2 d=0.126598 t=12715
qiu 	球	c=0 d=0.0371577 t=12715
qu 	去	c=68 d=4.32655 t=12715
qu 	取	c=5 d=0.138839 t=12715
qu ba 	去吧	c=1 d=0.00362464 t=12715
qu bie 	區別	c=1 d=1.13157e-13 t=12715
qu de 	取得	c=1 d=1 t=10580
qu du 	去度	c=1 d=0.273898 t=12715
qu kan 	去看	c=0 d=3.66169e-06 t=12715
qu le 	去了	c=1 d=6.28563e-09 t=12715
qu na 	去那	c=1 d=0.355226 t=12715
qu nian 	去年	c=4 d=0.639995 t=12715
qu yu 	區域	c=1 d=1.96604e-12 t=12715
qu zhi 	取值	c=3 d=2.10443 t=11017
quan 	全	c=3 d=1.00133 t=12289
quan 	圈	c=1 d=9.98911e-09 t=12715
quan bu 	全部	c=9 d=1.17442 t=11668
quan dang 	權當	c=1 d=1 t=11845
quan dou 	全都	c=1 d=1.09704 t=10332
quan dou shi 	全都是	c=1 d=1 t=12265
quan dou yao 	全都要	c=1 d=1 t=10327
quan guo 	全國	c=1 d=0.71177 t=12715
quan wei 	全爲	c=4 d=0.00701293 t=12715
que bao 	確保	c=4 d=0.00209123 t=12715
que ding 	確定	c=6 d=0.11881 t=12715
que ren 	確認	c=5 d=0.59685 t=12715
que shi 	確實	c=2 d=3.99795e-08 t=12715
que shi 	缺失	c=1 d=0.683861 t=12715
qun 	羣	c=1 d=1.55429e-12 t=12715
qun ti 	羣體	c=0 d=0.0202909 t=12715
qun zhu 	羣主	c=1 d=1.60163e-12 t=12715
qun zu 	羣組	c=1 d=0.00559994 t=12715
ran er 	然而	c=2 d=0.00755912 t=12715
ran hou 	然後	c=51 d=3.09159 t=12715
rang 	讓	c=16 d=1.51253 t=12715
rang ni 	讓你	c=1 d=0.0845849 t=12715
rang ta 	讓他	c=1 d=5.18542e-10 t=12715
rang wo 	讓我	c=5 d=0.00879103 t=12715
re shen 	熱身	c=1 d=6.47705e-09 t=12715
ren 	人	c=10 d=0.354571 t=12715
ren ding 	認定	c=2 d=0.0507979 t=12715
ren he 	任何	c=13 d=0.913676 t=12715
ren jia 	人家	c=3 d=0.198891 t=12715
ren ke 	認可	c=4 d=0.734212 t=12715
ren ne 	人呢	c=1 d=1.33434e-11 t=12715
ren nie 	人捏	c=1 d=1 t=10375
ren qing 	人情	c=1 d=3.25659e-08 t=12715
ren sheng 	人生	c=1 d=6.96349e-08 t=12715
ren shi 	認識	c=2 d=0.186374 t=12715
ren wei 	認爲	c=3 d=1.03733e-06 t=12715
ren wu 	任務	c=1 d=2.30082e-09 t=12715
ren xing 	人性	c=1 d=1.34729e-07 t=12715
ren yi 	任意	c=3 d=0.031122 t=12715
reng 	仍	c=1 d=0.142987 t=12715
reng chu lai 	扔出來	c=1 d=0.0902655 t=12715
ri 	日	c=3 d=0.88692 t=12715
ri chang 	日常	c=3 d=0.00119993 t=12715
ri chang sheng huo 	日常生活	c=1 d=0.00096827 t=12715
ri me 	日麼	c=2 d=0.97531 t=12715
ri qi 	日期	c=1 d=1.54601e-08 t=12715
ri zi 	日子	c=1 d=0.375311 t=12715
rightarrow 	→	c=9 d=0.316589 t=12715
rime 	Rime	c=0 d=0.0341298 t=12715
rime shu ru fa 	Rime輸入法	c=2 d=1.06427 t=12715
rong 	榮	c=1 d=1 t=10651
rong na 	容納	c=0 d=0.00236356 t=12715
rong na hou 	容納後	c=1 d=0.0237541 t=12715
rong yi 	容易	c=1 d=1.72966e-05 t=12715
rou 	肉	c=1 d=1 t=9796
ru 	汝	c=2 d=4.5643e-09 t=12715
ru ci 	如此	c=1 d=3.35691e-12 t=12715
ru du 	入讀	c=1 d=1.23175e-11 t=12715
ru eh 	汝誒	c=1 d=0.278038 t=12715
ru guo 	如果	c=34 d=1.49107 t=12715
ru he 	如何	c=8 d=0.283768 t=12715
ruan jian 	軟件	c=4 d=0.000167101 t=12715
ruo 	若	c=1 d=0.00440507 t=12715
ruo dian 	弱點	c=1 d=1.35404e-07 t=12715
ruo guo 	弱國	c=1 d=0.0274607 t=12715
sa 	撒	c=2 d=0.00348252 t=12715
sa jiu feng 	撒酒瘋	c=0 d=0.0256661 t=12715
sa ke luo fu 	薩克洛夫	c=0 d=0.0249075 t=12715
sa li 	薩里	c=2 d=0.66844 t=12715
san bu 	三步	c=1 d=3.71703e-05 t=12715
san dai 	三袋	c=1 d=1.0677e-06 t=12715
san ge 	三個	c=4 d=5.50419e-06 t=12715
san ming zhi 	三明治	c=1 d=2.82383e-07 t=12715
sao miao 	掃描	c=1 d=5.17115e-07 t=12715
sao miao jian 	掃描件	c=1 d=8.17451e-12 t=12715
sen 	森	c=0 d=0.0202909 t=12715
sha 	啥	c=11 d=0.837983 t=12715
sha ya tou 	傻丫頭	c=1 d=3.39885e-11 t=12715
shai shai 	曬曬	c=1 d=0.090718 t=12715
shan 	刪	c=1 d=0.000217133 t=12715
shan chu 	刪除	c=1 d=1 t=10285
shang 	上	c=42 d=1.69504 t=12715
shang ce suo 	上廁所	c=1 d=1 t=9419
shang ci 	上次	c=3 d=3.93898e-06 t=12715
shang dian 	商店	c=0 d=5.07048e-12 t=12715
shang ge 	上個	c=1 d=0.311923 t=12715
shang hai 	上海	c=2 d=5.37051e-12 t=12715
shang ke 	上課	c=2 d=0.000558643 t=12715
shang liang 	商量	c=3 d=1.00016 t=11504
shang mian 	上面	c=8 d=0.65377 t=12715
shang pin 	商品	c=1 d=1.09608 t=9630
shang shi 	上士	c=1 d=0.011158 t=12715
shang shi 	上師	c=1 d=0.0100017 t=12715
shang shi wen dao 	上士聞道	c=1 d=0.0101022 t=12715
shang xia lou 	上下樓	c=1 d=1 t=10237
shang xian 	上限	c=1 d=0.00708341 t=12715
shang xue 	上學	c=1 d=5.49373e-13 t=12715
shang ye 	商業	c=1 d=1.44199e-12 t=12715
shao 	少	c=1 d=0.66034 t=12715
shao 	燒	c=3 d=4.43762e-07 t=12715
shao hui 	燒毀	c=1 d=1.48899e-07 t=12715
shao jiao 	燒焦	c=1 d=1.51906e-07 t=12715
shao wei 	稍微	c=3 d=0.00037447 t=12715
she bei 	設備	c=1 d=1.07028e-05 t=12715
she ding 	設定	c=1 d=0.0992613 t=12715
she fa 	設法	c=1 d=1 t=10075
she hui 	社會	c=0 d=0.0429557 t=12715
she hui zi 	社會字	c=1 d=0.431711 t=12715
she ji 	設計	c=3 d=0.414176 t=12715
she jiao 	社交	c=4 d=0.0236092 t=12715
she jiao ping tai 	社交平臺	c=2 d=0.394247 t=12715
she qu 	社區	c=1 d=1 t=10087
she xian 	射線	c=1 d=3.10525e-07 t=12715
she zhi 	設置	c=13 d=1.28993 t=12715
shen 	神	c=1 d=0.509156 t=12715
shen er 	甚而	c=0 d=0.03099 t=12715
shen er ma 	甚而嗎	c=1 d=0.107528 t=12715
shen er qun ti 	甚而羣體	c=1 d=0.203926 t=12715
shen ji 	神級	c=2 d=1.02598 t=12715
shen jia lie 	沈嘉烈	c=2 d=1.83249 t=12715
shen lan 	深藍	c=1 d=0.332871 t=12715
shen me 	什麼	c=53 d=3.13534 t=12715
shen me shi 	什麼是	c=1 d=2.26033e-06 t=12715
shen mei 	審美	c=1 d=0.26982 t=12715
shen qian nan 	沈倩楠	c=1 d=0.778801 t=12715
shen qing 	申請	c=7 d=0.597501 t=12715
shen ru 	深入	c=1 d=4.31036e-12 t=12715
shen ti 	身體	c=1 d=1 t=12568
shen zhi 	甚至	c=1 d=0.360595 t=12715
sheng 	生	c=1 d=1 t=8875
sheng dan jie 	聖誕節	c=1 d=8.78842e-11 t=12715
sheng huo 	生活	c=3 d=0.00360598 t=12715
sheng huo zhong 	生活中	c=1 d=0.00128757 t=12715
sheng ji 	升級	c=2 d=1.4432e-08 t=12715
sheng ri 	生日	c=1 d=1 t=12340
sheng xia 	剩下	c=2 d=0.343009 t=12715
shi 	事	c=6 d=5.59777e-07 t=12715
shi 	是	c=213 d=3.57645 t=12715
shi 	時	c=3 d=0.0133441 t=12715
shi ba 	是吧	c=2 d=0.189191 t=12715
shi bu shi 	是不是	c=20 d=0.961236 t=12715
shi da fu 	士大夫	c=0 d=1.07638e-14 t=12715
shi de 	使得	c=9 d=0.549262 t=12715
shi de 	是的	c=1 d=1 t=9527
shi fou 	是否	c=15 d=0.101412 t=12715
shi he 	適合	c=2 d=4.12855e-05 t=12715
shi hou 	時候	c=37 d=0.652563 t=12715
shi ji 	十幾	c=1 d=4.91979e-09 t=12715
shi ji 	實際	c=8 d=0.713485 t=12715
shi ji shang 	實際上	c=4 d=0.000652461 t=12715
shi ji si hang 	是祭祀行	c=1 d=0.0395575 t=12715
shi jian 	時間	c=15 d=0.716924 t=12715
shi ke 	時刻	c=1 d=1.08228 t=10621
shi le 	溼了	c=1 d=0.163654 t=12715
shi le 	試了	c=2 d=0.164474 t=12715
shi ma 	是嗎	c=2 d=1.08848 t=12267
shi ou 	失偶	c=1 d=1 t=10973
shi pin 	視頻	c=7 d=0.692299 t=12715
shi pin 	食品	c=1 d=1 t=9838
shi qing 	事情	c=2 d=2.93199e-08 t=12715
shi qu 	失去	c=1 d=2.40133e-12 t=12715
shi qu 	市區	c=3 d=8.72764e-10 t=12715
shi ruo 	示弱	c=1 d=4.11929e-08 t=12715
shi shang 	時尚	c=1 d=8.08904e-06 t=12715
shi sheng 	師生	c=1 d=5.30387e-11 t=12715
shi shi 	事實	c=1 d=0.00869506 t=12715
shi shi 	實時	c=2 d=2.10214e-05 t=12715
shi shi 	試試	c=12 d=0.00324756 t=12715
shi xi 	實習	c=2 d=0.801125 t=12715
shi xi sheng 	實習生	c=0 d=0.0436049 t=12715
shi xian 	實現	c=5 d=0.427415 t=12715
shi xiang 	試想	c=1 d=0.0500366 t=12715
shi xing 	實行	c=1 d=1 t=9242
shi yao 	是要	c=1 d=5.63184e-11 t=12715
shi yi 	事宜	c=2 d=0.00486835 t=12715
shi ying 	適應	c=1 d=1 t=11282
shi yong 	使用	c=23 d=1.31855 t=12715
shi yong 	適用	c=1 d=1 t=9939
shi zhe yang 	是這樣	c=1 d=0.0231676 t=12715
shi zhong xin 	市中心	c=3 d=2.86939e-06 t=12715
shou 	收	c=1 d=3.15272e-09 t=12715
shou chuan 	手串	c=1 d=1.69132e-06 t=12715
shou dao 	收到	c=3 d=0.119434 t=12715
shou dong 	手動	c=2 d=0.0374406 t=12715
shou fei 	收費	c=2 d=0.694197 t=12715
shou gou 	收購	c=1 d=0.364219 t=12715
shou huan 	手環	c=2 d=1.31257e-05 t=12715
shou ji 	手機	c=12 d=1.69529 t=12715
shou ji shang 	手機上	c=3 d=0.673687 t=12715
